id	name	node_type
5553	PRG2	Gene
5558	PRIM2	Gene
55585	UBE2Q1	Gene
55635	DEPDC1	Gene
55654	TMEM127	Gene
55659	ZNF416	Gene
55763	EXOC1	Gene
5578	PRKCA	Gene
5583	PRKCH	Gene
55892	MYNN	Gene
55900	ZNF302	Gene
5591	PRKDC	Gene
55964	SEPTIN3	Gene
5608	MAP2K6	Gene
5613	PRKX	Gene
56172	ANKH	Gene
5621	PRNP	Gene
56339	METTL3	Gene
56478	EIF4ENIF1	Gene
56548	CHST7	Gene
56658	TRIM39	Gene
56675	NRIP3	Gene
5685	PSMA4	Gene
56860	OR52B1	Gene
56937	PMEPA1	Gene
56975	FAM20C	Gene
57053	CHRNA10	Gene
57115	PGLYRP4	Gene
57162	PELI1	Gene
5717	PSMD11	Gene
5718	PSMD12	Gene
572	BAD	Gene
57234	LINC00869	Gene
573	BAG1	Gene
5732	PTGER2	Gene
5740	PTGIS	Gene
57403	RAB22A	Gene
57412	AS3MT	Gene
57414	RHBDD2	Gene
574411	MIR451A	Gene
574435	MIR376B	Gene
574444	MIR491	Gene
574452	MIR494	Gene
574503	MIR501	Gene
574506	MIR503	Gene
5747	PTK2	Gene
57471	ERMN	Gene
57493	HEG1	Gene
57498	KIDINS220	Gene
57510	XPO5	Gene
5753	PTK6	Gene
577	ADGRB3	Gene
5778	PTPN7	Gene
5788	PTPRC	Gene
5791	PTPRE	Gene
5806	PTX3	Gene
5814	PURB	Gene
58191	CXCL16	Gene
5820	PVT1	Gene
58476	TP53INP2	Gene
58500	ZNF250	Gene
586	BCAT1	Gene
5876	RABGGTB	Gene
5888	RAD51	Gene
5893	RAD52	Gene
5896	RAG1	Gene
59	ACTA2	Gene
5905	RANGAP1	Gene
5909	RAP1GAP	Gene
5925	RB1	Gene
59349	KLHL12	Gene
5937	RBMS1	Gene
5955	RCN2	Gene
5965	RECQL	Gene
597	BCL2A1	Gene
5971	RELB	Gene
598	BCL2L1	Gene
599	BCL2L2	Gene
5996	RGS1	Gene
5997	RGS2	Gene
5998	RGS3	Gene
60	ACTB	Gene
6016	RIT1	Gene
60370	AVPI1	Gene
604	BCL6	Gene
60440	IIGP1	Gene
60481	ELOVL5	Gene
60487	TRMT11	Gene
60626	RIC8A	Gene
60672	MIIP	Gene
6144	RPL21	Gene
6165	RPL35A	Gene
6167	RPL37	Gene
6173	RPL36A	Gene
619556	MIR455	Gene
6227	RPS21	Gene
6229	RPS24	Gene
6233	RPS27A	Gene
6256	RXRA	Gene
6281	S100A10	Gene
629	CFB	Gene
